[GIN] 2026/09/11 - 14:16:39 | 200 |    201.8106ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:17:01 | 200 |   21.2846276s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:17:01 | 200 |      1.5838ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:17:01 | 200 |      3.6505ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:17:01 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 14:17:01 | 200 |      4.3231ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:17:01 | 200 |      5.3668ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:17:01 | 200 |      4.8456ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:17:01 | 200 |      6.3841ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:17:06 | 200 |    4.8410195s |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 14:17:25 | 200 |   19.3873361s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:18:53 | 200 |         1m28s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:18:54 | 200 |      1.0398ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:18:54 | 200 |      3.1866ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:18:54 | 200 |      6.1721ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:18:54 | 200 |      6.1721ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:18:54 | 200 |      4.5039ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:18:54 | 200 |      4.4879ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:18:54 | 200 |      5.0961ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:18:57 | 200 |    3.2749887s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:18:57 | 200 |      2.6259ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:18:57 | 200 |      7.0815ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:18:57 | 200 |      7.0815ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:18:57 | 200 |      8.4833ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:18:57 | 200 |       7.586ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:18:57 | 200 |       8.991ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:18:57 | 200 |      1.5161ms |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 14:18:57 | 200 |     28.7864ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 14:19:08 | 200 |   10.5413615s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:19:22 | 200 |   14.8334174s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:19:23 | 200 |      1.5552ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:19:23 | 200 |      4.5131ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:23 | 200 |      3.9937ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:23 | 200 |      5.7029ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:23 | 200 |      6.2505ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:23 | 200 |      5.4668ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:23 | 200 |      6.2505ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:26 | 200 |    3.0285516s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:19:26 | 200 |      1.0398ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:19:26 | 200 |      3.9952ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:26 | 200 |       4.514ms |       127.0.0.1 | POST     "/api/show"
